3d,3d,44.4383919935
download,msn,5.99889157941
shea,mail,5.99712663279
regular,sale,5.99609921217
sellers,mail,5.99425326558
mail,sellers,5.99425326558
smith,texas,5.98715297909
mailto,imceanotes,5.91519704209
mail,cristina,5.91389418843
net,works,5.91249981794
stories,denverpost,5.9124652289
3e,did,5.91047635937
2ecom,did,5.91006129095
term,term,5.90638332352
enron,works,5.88062818367
's,n't,5.86257536608
week,week,5.84948436036
last,like,5.84763384697
yahoo,yahoo,5.83005626643
sections,rid,5.82915552013
research,rid,5.82869929798
40e,did,5.82674061347
wholesale,services,5.82310107203
ceo,ceo,5.82289123908
file,rid,5.81658089714
chris,chris,5.8110470102
energy,'s,5.81025751406
's,energy,5.81025751406
email,email,5.80399969402
cfm,rid,5.74311551211
elizabeth,sager,5.74275781016
public,commission,5.73686834409
monday,october,5.70944551769
john,john,5.69439531961
n't,'s,5.69014017138
john,mail,5.67953807279
's,contracts,5.66637267897
symbol,cpn,5.65613076791
3d23006,rid,5.65591372344
cpane,rid,5.65591372344
msn,explorer,5.65585946232
growney,mail,5.65380658333
jim,derrick,5.65343579902
report,amount,5.64839855851
suite,houston,5.64722817633
file,3d23006,5.64469975893
bond,state,5.64375245024
looks,like,5.63866999213
enron,gisb,5.63374881013
california,said,5.60992441094
's,commission,5.60788191275
lkp,lkp,5.56735931523
fortune,jhtml,5.56712118706
download,explorer,5.56677892567
jpg,jpg,5.56671613946
cfm,cpane,5.56653926613
default,rid,5.56636086142
sections,3d23006,5.56622074099
sections,cpane,5.56622074099
research,3d23006,5.56582871004
research,cpane,5.56582871004
sections,default,5.56549716825
status,expense,5.56533867136
40sarofim,did,5.5633540147
denverpost,denverpost,5.56334176374
john,zufferli,5.56039846891
legislature,edison,5.55851181999
file,cpane,5.55541538807
america,houston,5.54894228337
north,houston,5.54783510223
look,like,5.52348247684
power,contracts,5.52032861852
said,said,5.50858912937
know,time,5.49673605152
like,going,5.48682528646
ole,object,5.47670642077
dbo,scenario,5.47630090445
zufferli,zufferli,5.47616002451
cfm,3d23006,5.47598022745
energycentral,rid,5.47567745231
default,cfm,5.47539647075
exmerge,zufferli,5.47486408465
folder,zufferli,5.47474889
research,default,5.47433559026
html,html,5.46990215278
filename,chris,5.46669460436
did,last,5.4216332579
business,business,5.41750415224
power,said,5.40106011544
some,'s,5.39431826621
's,know,5.38567636393
lkp,datevalue,5.38474602523
cpane,3d23006,5.38435415936
amount,status,5.38161188995
public,utilities,5.38117490014
like,'s,5.38102986153
subject,dog,5.38060491342
changed,report,5.37928681915
sale,sale,5.3787524566
utilities,commission,5.37718499314
america,smith,5.37523278865
north,smith,5.37464855226
bonds,state,5.36343406367
's,state,5.36286826269
sections,file,5.36002839306
's,let,5.35591643084
's,jeff,5.35329510571
services,houston,5.35044153319
year,'s,5.35035717069
agreement,enron,5.34570052263
like,discuss,5.34453583751
friday,october,5.34222897462
think,'s,5.33468818386
's,gas,5.32431272344
know,enron,5.29361524923
interviewer,interviewer,5.29138660698
mailto,2ecom,5.29068487644
imceanotes,2ecom,5.29068487644
channel,list,5.29061156131
indexw,list,5.29061156131
list,requestid,5.29061156131
default,cpane,5.29029090832
default,3d23006,5.29029090832
list,jhtml,5.28882943968
sale,regular,5.28707954448
short,term,5.28552139654
origin,chris,5.28060203185
america,texas,5.27942254448
north,texas,5.27871195168
's,time,5.2756717959
term,contracts,5.27505425176
's,want,5.26617962957
available,october,5.25983048577
mail,steve,5.2548490852
bill,mail,5.25457757752
call,discuss,5.24788737045
's,',5.21911184443
lkp,rt,5.19585049903
2ecom,3e,5.19551001445
imceanotes,3e,5.1953771024
mailto,3e,5.1953771024
flavor,regular,5.19510143295
energycentral,cpane,5.19481345684
energycentral,3d23006,5.19481345684
energycentral,default,5.19418581658
amount,paid,5.19302816901
did,auctions,5.1916629489
debra,america,5.19088024459
debra,north,5.19057011646
filename,dorland,5.19029936969
status,review,5.18358977233
deal,deal,5.17216179707
page,file,5.17092866858
call,call,5.16000589319
debra,enron,5.15929886391
's,good,5.14114795341
good,'s,5.14114795341
last,did,5.13755297517
october,work,5.13433354988
california,gas,5.13274845058
said,state,5.12658691033
n't,want,5.11996920278
n't,time,5.11718018907
n't,think,5.11062597769
know,'s,5.10292253514
device,bitmap,5.09865080509
device,independent,5.09835232678
independent,bitmap,5.09835232678
picture,device,5.09828209659
picture,bitmap,5.09828209659
scenario,dbo,5.09802625804
debra,perlingiere,5.09770269752
picture,independent,5.09768513997
msn,msn,5.09768179568
dbo,region,5.09752963026
cristina,mail,5.09648370207
session,bills,5.09609074743
000mmbtu,day,5.09539429804
bonds,sold,5.09405323583
7bit,dorland,5.09327317907
debra,smith,5.09254077851
expense,report,5.09239780991
energy,crisis,5.09190285428
debra,texas,5.09127663508
wo,n't,5.08876590576
debra,houston,5.08632540664
need,know,5.08399985575
house,like,5.08236826983
items,chris,5.08191344574
texas,texas,5.08095279706
power,marketing,5.0793015515
send,email,5.0749405911
california,bill,5.07354936446
power,bonds,5.07253269885
know,think,5.06415270392
's,monday,5.05973707015
agreement,edison,5.05701182672
agreement,agreement,5.05205809006
state,year,5.04240896352
jeff,mail,5.03731476648
business,enron,5.03411375941
did,going,5.0325616875
said,did,5.03208010905
's,back,5.02461862838
's,meeting,5.02461862838
state,energy,5.02149876034
energy,power,5.00955293934
salisbury,holden,4.99952934757
's,need,4.99939542428
ppt,ppt,4.99937843184
extraordinary,session,4.99855479008
perlingiere,america,4.99782579039
perlingiere,north,4.99769789571
enrononline,id,4.99741311688
perlingiere,smith,4.997378159
said,n't,4.99721583586
perlingiere,texas,4.99686658027
regular,regular,4.99682735923
perlingiere,houston,4.9948628969
dorland,origin,4.99391732888
southern,california,4.99369735002
term,short,4.99367006582
encoding,dorland,4.99362061321
content,dorland,4.99302718188
transfer,dorland,4.9926562873
dorland,items,4.9908018144
angelides,said,4.98909655196
chris,origin,4.98846389959
chris,filename,4.98846389959
encoding,chris,4.98790116299
content,chris,4.98677568978
transfer,chris,4.98607226902
message,message,4.98491780635
perlingiere,enron,4.9848018485
chris,items,4.98255516524
going,love,4.98117390266
default,file,4.97980287166
like,dog,4.97910030354
week,'s,4.97824882251
power,trading,4.96488523584
said,contract,4.95946761707
next,day,4.94731762218
's,last,4.93591390398
's,list,4.9300640686
back,'s,4.92437106645
energy,energy,4.92120323318
energy,state,4.92094403329
's,some,4.91127021404
winmail,winmail,4.89872799398
dat,winmail,4.89871320036
war,war,4.89869753652
dat,dat,4.89869753652
holden,salisbury,4.89849912794
dbo,datetimevalue,4.8982902768
datetimevalue,dbo,4.8982902768
software,clickathome,4.89823893422
excite,cpn,4.898144081
excite,sre,4.898144081
spi,excite,4.898144081
sre,quicken,4.898144081
symbol,sre,4.898144081
sre,excite,4.898144081
spi,quicken,4.898144081
gisb,sp,4.89811884482
investments,cpn,4.89803269372
investments,sre,4.89803269372
msgs,quicken,4.89793522985
clickathome,clickathome,4.89778816384
region,dbo,4.89742876583
investments,quotes,4.89726342534
let,think,4.89691347498
's,like,4.89684405222
epmi,short,4.89680743368
delong,mail,4.89663339106
mail,herring,4.89663339106
mail,delong,4.89663339106
herring,mail,4.89663339106
general,fund,4.89648110377
web,site,4.8963166335
mail,kenny,4.89604686744
eddy,mail,4.895167082
file,enronredline,4.89503219897
amount,amount,4.89495562022
auctions,did,4.89421767951
live,did,4.89296457265
wholesale,smith,4.89266434914
discuss,symbol,4.89198297228
america,corp,4.890103312
north,corp,4.88958118414
wholesale,houston,4.88660592557
enron,broadband,4.8859497849
time,'s,4.8849808829
did,dog,4.8829397178
enron,na,4.88222701328
services,smith,4.87949889523
's,call,4.87520480948
's,enron,4.86951513761
research,file,4.86433108098
treasurer,'s,4.86225040147
did,look,4.8611356585
california,edison,4.85765480612
california,california,4.85531567332
contracts,state,4.85226644664
think,good,4.84906580287
california,energy,4.83972145466
n't,n't,4.83642781624
some,agreement,4.82287673978
some,john,4.81549124125
power,energy,4.80585972271
call,mark,4.80405664118
's,'re,4.80103526132
's,budget,4.79992225877
enron,file,4.79857475815
datevalue,lkp,4.79536127961
chief,officer,4.79518438264
gisb,gisb,4.79418789267
id,password,4.79393632563
affairs,committee,4.79391321346
matters,sheet,4.79353808521
confidential,intended,4.79324296062
edison,bailout,4.79243936836
stories,stories,4.79195934643
sara,smith,4.79080196022
sign,bill,4.78615997039
last,dog,4.78172243435
federal,energy,4.77745557277
going,game,4.77448654825
prices,state,4.76302558026
's,proposals,4.75944941689
mail,bill,4.75509010664
down,october,4.74729597282
october,time,4.7425012477
some,time,4.74035182136
mark,enron,4.73145476268
gas,'s,4.73009781408
more,information,4.7291618111
's,four,4.72647813295
power,'s,4.72261244627
know,know,4.71695389948
's,then,4.7153340651
enroncanada,enroncanada,4.69035758972
salisbury,salisbury,4.68993494753
sara,shackleton,4.68962137429
msn,asp,4.68917964503
definitions,load,4.68855068074
exmerge,swerzbin,4.68847796811
swerzbin,filename,4.68847796811
folder,swerzbin,4.68838344168
britain,ceo,4.68831618249
gas,power,4.6878799253
amount,approved,4.68763450154
received,error,4.68753633949
mark,mcconnell,4.68648927755
dasovich,jeff,4.68623569223
power,power,4.68568960302
look,dog,4.68163207355
federal,commission,4.68151573333
office,cell,4.68061773229
state,university,4.6790498661
purchase,price,4.67893897934
7bit,chris,4.6785681449
mark,taylor,4.67716388214
house,did,4.6768039546
payment,edison,4.6755787467
edison,payment,4.6755787467
jpg,file,4.67346644466
exmerge,john,4.67103784266
file,gisb,4.67071790707
want,know,4.66843725936
contract,contract,4.66383838291
like,love,4.66256682071
gisb,enron,4.66254955146
's,year,4.65189291984
questions,thank,4.6441341678
review,review,4.64149469916
mail,',4.64018223611
governor,'s,4.63810356366
agreement,'s,4.63519788162
management,enron,4.6346833431
back,back,4.62944530668
need,let,4.62378099719
last,'s,4.62295485359
enron,energy,4.60315427716
's,day,4.59735579497
's,utility,4.59625380673
n't,back,4.58730742593
jhtml,requestid,4.58243894131
indexw,jhtml,4.58243894131
kaztek,assignment,4.58226125459
aol,aol,4.58223985776
jhtml,jhtml,4.58216543401
live,auctions,4.58215147956
erin,20richardson,4.58211054649
erin,40e,4.58211054649
erin,40sarofim,4.58211054649
erin,3cerichardson,4.58211054649
erin,3e,4.58194774453
erin,2ecom,4.58190122968
sara,eb3801a,4.58189099642
mod,load,4.58167423723
list,5columns,4.58154678655
list,powerwomen,4.58154678655
explorer,asp,4.5815319018
house,precious,4.58151143527
dog,precious,4.58126583688
precious,love,4.58093837236
exmerge,salisbury,4.58082115495
folder,salisbury,4.58073556763
transwestern,pipeline,4.58053834468
2ecom,subject,4.58014761997
user,id,4.58013459581
sara,wholesale,4.58005086909
status,changed,4.57981271307
house,dog,4.57947966677
's,did,4.57843475165
swerzbin,mike,4.57834284393
dog,love,4.57781257468
last,precious,4.57749999491
precious,going,4.576926932
special,special,4.57676971182
did,precious,4.57668133361
mime,exmerge,4.5763203784
edison,proposals,4.57626456058
southern,edison,4.57606733763
look,house,4.57527100346
sara,services,4.57478724906
like,precious,4.57473701303
kaztek,enron,4.57395277271
sara,houston,4.57226242319
house,last,4.57057858575
's,'d,4.56951646202
did,house,4.56864356813
questions,let,4.566673398
dog,going,4.56614292999
market,prices,4.56614106939
assignment,enron,4.56532985047
folder,john,4.5617742556
cfm,file,4.55913221232
jim,jim,4.55631899441
october,tickets,4.55480819219
tickets,october,4.55480819219
mike,mike,4.55408535148
california,commission,4.55256803719
sara,enron,4.55206381625
review,comments,4.54912221736
look,last,4.54773793553
questions,contact,4.54517775838
look,did,4.54211894207
'm,going,4.53456120981
bill,'s,4.53231667808
back,edison,4.53149495113
mail,jeff,4.51391699064
day,october,4.49080748461
well,'s,4.48697944141
's,business,4.48089891462
some,state,4.47787542699
war,terrorterror,4.47201584289
tiger,stadium,4.47186141304
mod,lkpmod,4.47184425417
sempra,calpine,4.47179277755
20richardson,40sarofim,4.47175464673
20richardson,3cerichardson,4.47175464673
40sarofim,40e,4.47175464673
20richardson,40e,4.47175464673
3cerichardson,40sarofim,4.47175464673
3cerichardson,40e,4.47175464673
3cerichardson,3e,4.47162118883
40sarofim,3e,4.47162118883
20richardson,3e,4.47162118883
3e,40e,4.47162118883
2ecom,40e,4.471583058
quotes,msgs,4.471583058
40sarofim,2ecom,4.471583058
20richardson,2ecom,4.471583058
3cerichardson,2ecom,4.471583058
lkpcalendar,mod,4.47156875894
definitions,mod,4.47155255334
lkpmod,lkpcalendar,4.47153539447
mailto,40e,4.47146866552
mailto,3cerichardson,4.47146866552
imceanotes,3cerichardson,4.47146866552
imceanotes,20richardson,4.47146866552
imceanotes,40e,4.47146866552
imceanotes,40sarofim,4.47146866552
mailto,40sarofim,4.47146866552
mailto,20richardson,4.47146866552
mailto,erin,4.47130184315
imceanotes,erin,4.47130184315
excite,aye,4.47122081514
cpn,excite,4.47122081514
cpn,quicken,4.47122081514
aye,excite,4.47122081514
aye,quicken,4.47122081514
wmb,excite,4.47122081514
symbol,spi,4.47122081514
symbol,wmb,4.47122081514
symbol,aye,4.47122081514
excite,wmb,4.47122081514
wmb,quicken,4.47122081514
excite,spi,4.47122081514
'ngi,',4.47119793665
','ngi,4.47119793665
load,lkpmod,4.47115789928
notify,sender,4.47113502078
sre,investments,4.4710987965
investments,aye,4.4710987965
spi,investments,4.4710987965
investments,wmb,4.4710987965
investments,spi,4.4710987965
enrononline,user,4.47100728251
quicken,msgs,4.47099203018
msgs,excite,4.47099203018
excite,msgs,4.47099203018
msgs,symbol,4.47099203018
msgs,investments,4.47083950687
excite,quotes,4.47047726401
quotes,excite,4.47047726401
quicken,quotes,4.47047726401
20richardson,subject,4.47042006777
40sarofim,subject,4.47042006777
3cerichardson,subject,4.47042006777
40e,subject,4.47042006777
flavor,sale,4.47033427341
quotes,investments,4.47025610521
gisb,cover,4.47025038559
ceo,britain,4.46993389972
3e,subject,4.46981950724
gisb,page,4.469635526
msgs,discuss,4.46958118957
barrie,mail,4.46956593724
40e,look,4.46925707753
zufferli,filename,4.46924373175
origin,zufferli,4.46924373175
imceanotes,subject,4.46913315235
louise,kitchen,4.46911027385
mail,growney,4.46828092835
3e,look,4.46824947042
status,status,4.4679835079
2ecom,look,4.46796158268
ou,texas,4.46779190049
items,zufferli,4.4677623491
subject,house,4.4676746482
total,amount,4.46759838654
spending,california,4.46743823707
transwestern,company,4.46733147075
shut,down,4.46698829331
3cerichardson,did,4.46664511586
tickets,tickets,4.46572616292
regular,session,4.46556506018
information,file,4.4653582818
sheet,add,4.46500358374
ceo,chairman,4.46462894836
budget,bonds,4.46450025682
symbol,discuss,4.4644716587
mark,transwestern,4.46441446246
meeting,time,4.46354792397
status,following,4.46269857523
services,enron,4.46185478356
power,some,4.46174128733
report,total,4.4611256786
pipeline,company,4.46044504333
confidential,information,4.45974343611
subject,look,4.45918100641
file,ppt,4.45916384753
information,intended,4.45879016543
enron,october,4.45452506579
rid,file,4.45339846644
budget,year,4.45330123283
subject,last,4.45085895334
take,look,4.44593817007
sheet,gas,4.44385241381
week,time,4.44286742322
subject,like,4.43927671453
power,prices,4.43153425004
review,enron,4.42868969801
contract,said,4.42681937323
said,contracts,4.42549432698
deal,state,4.42241812249
enron,management,4.41368330321
mark,john,4.405216353
enron,business,4.39884112102
gas,california,4.39846719656
company,'s,4.38268093305
meeting,october,4.38226540802
n't,let,4.37558090688
call,back,4.37238952373
contact,enron,4.37018365537
business,'s,4.3684051301
need,more,4.36317711584
review,let,4.35978728529
terrorterror,war,4.35877571112
datevalue,datevalue,4.35838156298
cd,curve,4.35814194438
curve,cd,4.35814194438
level,detail,4.35742015449
privileged,confidential,4.35737320881
operating,expenses,4.35713261218
sale,flavor,4.35705045723
rid,energycentral,4.35695363176
rid,sections,4.35649591134
sheet,matters,4.35637561302
mailto,subject,4.35581813302
edison,bankruptcy,4.35350801415
voice,mail,4.3499998023
day,ahead,4.34988732827
imceanotes,did,4.34904034988
regulatory,commission,4.34861783872
detail,business,4.34752048336
agenda,meeting,4.34522014484
day,time,4.34451779548
california,public,4.34312519369
cpane,file,4.34312519369
thank,enron,4.34299637547
more,'s,4.3416677854
mark,pipeline,4.33962187201
term,price,4.33541436507
following,report,4.33469257518
enron,europe,4.33309739996
like,like,4.33230163167
said,prices,4.32599979934
state,term,4.32429606223
director,enron,4.32263731472
contact,information,4.32222262784
mark,office,4.32192921732
's,order,4.31607410482
mark,company,4.31453527207
n't,like,4.31222098471
jeff,jeff,4.31199140282
energy,contracts,4.30657015434
mail,chris,4.30451530263
october,thank,4.29125803705
questions,enron,4.28998117966
did,back,4.28594535046
's,well,4.25877014421
know,comments,4.25642042731
's,management,4.25132095238
take,'s,4.25023551177
let,enron,4.24561842578
enronfinal,enronredline,4.24255929544
palo,alto,4.24233923646
dbo,scenariocode,4.24224277225
inner,dbo,4.2421764531
dbo,inner,4.2421764531
palo,palo,4.24201266491
lkpcalendar,lkpmod,4.24200764074
definitions,lkpmod,4.2419895537
type,cd,4.24191720554
user,password,4.24180466396
index,pge,4.24176648021
today,'s,4.24170087934
enrononline,password,4.24167403534
40e,house,4.24159565817
fortune,women,4.24143488448
coal,plants,4.24093045705
lkpcalendar,load,4.24063604024
erin,subject,4.24037980718
water,resources,4.24034966211
shackleton,smith,4.24029238649
department,water,4.24022908185
special,bills,4.24017984491
short,epmi,4.24013261764
talking,points,4.24012055961
cfm,energycentral,4.24007835652
cover,page,4.23982111862
join,dbo,4.23972264474
dbo,join,4.23972264474
approved,status,4.2396563256
40sarofim,look,4.23960608382
rid,research,4.23954478885
department,resources,4.23920414961
attorney,general,4.23861933533
short,short,4.23852488079
file,enronfinal,4.23808275316
enronfinal,file,4.23808275316
federal,regulatory,4.23765268355
sell,bonds,4.23748588085
vice,ceo,4.23715428513
20richardson,did,4.23685283447
legislature,session,4.23616854148
smith,suite,4.2360901643
sender,email,4.23588819236
did,live,4.23569526394
report,expense,4.23468238973
state,fund,4.23252701752
state,treasurer,4.23252701752
lynch,said,4.23230494887
estimate,time,4.23072735709
'd,'s,4.22880462864
state,angelides,4.22854284465
session,bill,4.22719837471
deal,sale,4.22717626833
's,more,4.22562076298
greg,mark,4.22392060121
deal,term,4.22270876956
mark,cell,4.22175015647
energy,regulatory,4.22034137706
gas,pipeline,4.21733390432
state,general,4.21597737635
issue,state,4.21260615315
general,power,4.21186860388
file,page,4.21174802361
'd,some,4.20407911885
enron,markets,4.20108671865
review,jeff,4.19158700356
contracts,energy,4.18887796697
n't,call,4.18583367914
jeff,john,4.18542535209
next,meeting,4.18330313945
contracts,power,4.18038911642
's,actions,4.17838145503
know,kim,4.16384550427
ferc,'s,4.15010739291
's,company,4.14874658871
against,'s,4.13468517721
want,let,4.13442391997
'm,'s,4.1249793581
prc,gdl,4.12279646942
060ltr,torch,4.12279543545
rt,lkp,4.12272512568
aruba,prc,4.12270134443
tissue,worldwide,4.12270031046
','if,4.12225777249
san,francisco,4.12195482009
maintenance,development,4.12183177799
enrononline,enrononline,4.12169012448
3e,house,4.12165393563
cpane,energycentral,4.1214181911
notify,immediately,4.12121346559
central,books,4.12108732159
amount,approval,4.12001199567
3cerichardson,look,4.11998304459
cameron,mail,4.11996960301
good,let,4.11962068296
general,counsel,4.11923755421
40e,last,4.11797714816
edison,undercollection,4.1176255993
customers,agreed,4.11611807508
erin,did,4.11566106157
gas,logistics,4.11454437696
mailto,did,4.11268323595
fund,power,4.11109506228
enron,americas,4.11057290883
year,july,4.10864455995
prices,prices,4.10796731141
gas,electric,4.10776672177
california,utilities,4.10689301946
3d23006,file,4.10642980214
review,sheet,4.10247591146
state,federal,4.10166114528
's,right,4.09870000724
october,call,4.09487359355
mark,smith,4.08876757393
good,morning,4.08871794351
n't,yet,4.08732829155
meeting,discuss,4.08722075896
last,report,4.0807956866
commission,state,4.07769378491
gas,market,4.07102469628
's,bill,4.06785557584
idea,'s,4.067562974
back,know,4.06671006334
following,october,4.0666510149
morning,'s,4.06528520656
questions,know,4.06059664398
's,down,4.04986299086
's,through,4.04857780622
's,information,4.04617222504
information,'s,4.04617222504
going,going,4.04434213796
mail,agreement,4.04052369698
let,call,4.03641628181
federal,'s,4.03317942775
n't,make,4.03117146339
utilities,'s,4.03053453958
more,enron,4.02770636744
n't,edison,4.02709556458
let,thank,4.02330710865
deal,'s,4.02287411338
time,enron,4.01441346975
let,want,4.01175149089
barrie,growney,3.99989768425
cristina,shea,3.99988489479
eddy,growney,3.99983373691
lkpcalendar,dayofweekname,3.99981348692
definitions,dayofweekname,3.99980815798
monthname,dbo,3.9997186317
shackleton,eb3801a,3.99967600014
cd,cd,3.99965468436
peakoroffpeak,lkp,3.99963230279
lkp,peakoroffpeak,3.99963230279
aruba,ft,3.9996013949
lkpcalendar,datetimevalue,3.99955236861
definitions,datetimevalue,3.99953957914
clickathome,tools,3.99948735548
tired,kept,3.99947350022
lkpcalendar,peakoroffpeak,3.99944046076
definitions,peakoroffpeak,3.99942447393
books,aruba,3.99942021077
clickathome,pc,3.99940848709
northwest,epmi,3.99933494765
epmi,northwest,3.99933494765
epmi,southwest,3.99929338188
loretta,lynch,3.99917188193
monika,causholli,3.99901521094
wholesale,eb3801a,3.99899389516
quicken,sre,3.99897684254
quicken,cpn,3.99897684254
sre,symbol,3.99897684254
lkpmod,load,3.99890650046
cpn,investments,3.99884042154
barrie,bill,3.99884042154
wmb,investments,3.99884042154
aye,investments,3.99884042154
explorer,explorer,3.99883935575
shackleton,wholesale,3.9988052505
regular,flavor,3.99863472426
caryplatkin,mail,3.99856331639
download,clickathome,3.99846206644
2ecom,house,3.99839279015
dbo,datevalue,3.99838213226
datevalue,dbo,3.99838213226
3d23006,energycentral,3.99826063231
pacificorp,marketing,3.99821480338
eddy,bill,3.998115685
curve,curve,3.99802935609
term,northwest,3.99802189557
northwest,term,3.99802189557
error,immediately,3.99791957982
smith,eb3801a,3.9979025272
term,southwest,3.99789826404
load,lkpcalendar,3.9978737509
load,definitions,3.99781300092
approval,status,3.99690494867
services,eb3801a,3.99689642236
'll,know,3.99659353131
